CRIM,INDUS,RM,DIS,PTRATIO,LSTAT
0.00632,2.31,6.575,4.09,15.3,4.98
0.02731,7.07,6.421,4.9671,17.8,9.14
0.02729,7.07,7.185,4.9671,17.8,4.03
0.03237,2.18,6.998,6.0622,18.7,2.94
0.06905,2.18,7.147,6.0622,18.7,5.33
0.02985,2.18,6.43,6.0622,18.7,5.21
0.08829,7.87,6.012,5.5605,15.2,12.43
0.14455,7.87,6.172,5.9505,15.2,19.15
0.21124,7.87,5.631,6.0821,15.2,29.93
0.17004,7.87,6.004,6.5921,15.2,17.1
0.11747,7.87,6.009,6.2267,15.2,13.27
0.09378,7.87,5.889,5.4509,15.2,15.71
0.62976,8.14,5.949,4.7075,21,8.26
0.63796,8.14,6.096,4.4619,21,10.26
0.62739,8.14,5.834,4.4986,21,8.47
1.05393,8.14,5.935,4.4986,21,6.58
0.7842,8.14,5.99,4.2579,21,14.67
0.80271,8.14,5.456,3.7965,21,11.69
0.7258,8.14,5.727,3.7965,21,11.28
1.25179,8.14,5.57,3.7979,21,21.02
0.85204,8.14,5.965,4.0123,21,13.83
1.23247,8.14,6.142,3.9769,21,18.72
0.98843,8.14,5.813,4.0952,21,19.88
0.75026,8.14,5.924,4.3996,21,16.3
0.84054,8.14,5.599,4.4546,21,16.51
0.67191,8.14,5.813,4.682,21,14.81
0.95577,8.14,6.047,4.4534,21,17.28
0.77299,8.14,6.495,4.4547,21,12.8
1.00245,8.14,6.674,4.239,21,11.98
1.13081,8.14,5.713,4.233,21,22.6
1.35472,8.14,6.072,4.175,21,13.04
1.38799,8.14,5.95,3.99,21,27.71
1.15172,8.14,5.701,3.7872,21,18.35
1.61282,8.14,6.096,3.7598,21,20.34
0.09744,5.96,5.841,3.3779,19.2,11.41
0.08014,5.96,5.85,3.9342,19.2,8.77
0.17505,5.96,5.966,3.8473,19.2,10.13
0.02763,2.95,6.595,5.4011,18.3,4.32
0.03359,2.95,7.024,5.4011,18.3,1.98
0.12744,6.91,6.77,5.7209,17.9,4.84
0.1415,6.91,6.169,5.7209,17.9,5.81
0.15936,6.91,6.211,5.7209,17.9,7.44
0.12269,6.91,6.069,5.7209,17.9,9.55
0.17142,6.91,5.682,5.1004,17.9,10.21
0.18836,6.91,5.786,5.1004,17.9,14.15
0.22927,6.91,6.03,5.6894,17.9,18.8
0.25387,6.91,5.399,5.87,17.9,30.81
0.21977,6.91,5.602,6.0877,17.9,16.2
0.08873,5.64,5.963,6.8147,16.8,13.45
0.04337,5.64,6.115,6.8147,16.8,9.43
0.0536,5.64,6.511,6.8147,16.8,5.28
0.04981,5.64,5.998,6.8147,16.8,8.43
0.0136,4,5.888,7.3197,21.1,14.8
0.01311,1.22,7.249,8.6966,17.9,4.81
0.02055,0.74,6.383,9.1876,17.3,5.77
0.01432,1.32,6.816,8.3248,15.1,3.95
0.15445,5.13,6.145,7.8148,19.7,6.86
0.10328,5.13,5.927,6.932,19.7,9.22
0.14932,5.13,5.741,7.2254,19.7,13.15
0.17171,5.13,5.966,6.8185,19.7,14.44
0.11027,5.13,6.456,7.2255,19.7,6.73
0.01951,1.38,7.104,9.2229,18.6,8.05
0.03584,3.37,6.29,6.6115,16.1,4.67
0.04379,3.37,5.787,6.6115,16.1,10.24
0.05789,6.07,5.878,6.498,18.9,8.1
0.13554,6.07,5.594,6.498,18.9,13.09
0.12816,6.07,5.885,6.498,18.9,8.79
0.08826,10.81,6.417,5.2873,19.2,6.72
0.15876,10.81,5.961,5.2873,19.2,9.88
0.09164,10.81,6.065,5.2873,19.2,5.52
0.19539,10.81,6.245,5.2873,19.2,7.54
0.07896,12.83,6.273,4.2515,18.7,6.78
0.09512,12.83,6.286,4.5026,18.7,8.94
0.10153,12.83,6.279,4.0522,18.7,11.97
0.08707,12.83,6.14,4.0905,18.7,10.27
0.05646,12.83,6.232,5.0141,18.7,12.34
0.08387,12.83,5.874,4.5026,18.7,9.1
0.04113,4.86,6.727,5.4007,19,5.29
0.04462,4.86,6.619,5.4007,19,7.22
0.03659,4.86,6.302,5.4007,19,6.72
0.03551,4.86,6.167,5.4007,19,7.51
0.05059,4.49,6.389,4.7794,18.5,9.62
0.05735,4.49,6.63,4.4377,18.5,6.53
0.05188,4.49,6.015,4.4272,18.5,12.86
0.07151,4.49,6.121,3.7476,18.5,8.44
0.0566,3.41,7.007,3.4217,17.8,5.5
0.05302,3.41,7.079,3.4145,17.8,5.7
0.04684,3.41,6.417,3.0923,17.8,8.81
0.03932,3.41,6.405,3.0921,17.8,8.2
0.04203,15.04,6.442,3.6659,18.2,8.16
0.02875,15.04,6.211,3.6659,18.2,6.21
0.04294,15.04,6.249,3.615,18.2,10.59
0.12204,2.89,6.625,3.4952,18,6.65
0.12083,2.89,8.069,3.4952,18,4.21
0.08187,2.89,7.82,3.4952,18,3.57
0.0686,2.89,7.416,3.4952,18,6.19
0.14866,8.56,6.727,2.7778,20.9,9.42
0.11432,8.56,6.781,2.8561,20.9,7.67
0.22876,8.56,6.405,2.7147,20.9,10.63
0.21161,8.56,6.137,2.7147,20.9,13.44
0.1396,8.56,6.167,2.421,20.9,12.33
0.13262,8.56,5.851,2.1069,20.9,16.47
0.1712,8.56,5.836,2.211,20.9,18.66
0.13117,8.56,6.127,2.1224,20.9,14.09
0.12802,8.56,6.474,2.4329,20.9,12.27
0.26363,8.56,6.229,2.5451,20.9,15.55
0.10793,8.56,6.195,2.7778,20.9,13
0.10084,10.01,6.715,2.6775,17.8,10.16
0.12329,10.01,5.913,2.3534,17.8,16.21
0.22212,10.01,6.092,2.548,17.8,17.09
0.14231,10.01,6.254,2.2565,17.8,10.45
0.17134,10.01,5.928,2.4631,17.8,15.76
0.13158,10.01,6.176,2.7301,17.8,12.04
0.15098,10.01,6.021,2.7474,17.8,10.3
0.13058,10.01,5.872,2.4775,17.8,15.37
0.14476,10.01,5.731,2.7592,17.8,13.61
0.06899,25.65,5.87,2.2577,19.1,14.37
0.07165,25.65,6.004,2.1974,19.1,14.27
0.09299,25.65,5.961,2.0869,19.1,17.93
0.15038,25.65,5.856,1.9444,19.1,25.41
0.09849,25.65,5.879,2.0063,19.1,17.58
0.16902,25.65,5.986,1.9929,19.1,14.81
0.38735,25.65,5.613,1.7572,19.1,27.26
0.25915,21.89,5.693,1.7883,21.2,17.19
0.32543,21.89,6.431,1.8125,21.2,15.39
0.88125,21.89,5.637,1.9799,21.2,18.34
0.34006,21.89,6.458,2.1185,21.2,12.6
1.19294,21.89,6.326,2.271,21.2,12.26
0.59005,21.89,6.372,2.3274,21.2,11.12
0.32982,21.89,5.822,2.4699,21.2,15.03
0.97617,21.89,5.757,2.346,21.2,17.31
0.32264,21.89,5.942,1.9669,21.2,16.9
0.35233,21.89,6.454,1.8498,21.2,14.59
0.2498,21.89,5.857,1.6686,21.2,21.32
0.54452,21.89,6.151,1.6687,21.2,18.46
0.2909,21.89,6.174,1.6119,21.2,24.16
1.62864,21.89,5.019,1.4394,21.2,34.41
3.32105,19.58,5.403,1.3216,14.7,26.82
4.0974,19.58,5.468,1.4118,14.7,26.42
2.77974,19.58,4.903,1.3459,14.7,29.29
2.37934,19.58,6.13,1.4191,14.7,27.8
2.15505,19.58,5.628,1.5166,14.7,16.65
2.36862,19.58,4.926,1.4608,14.7,29.53
2.33099,19.58,5.186,1.5296,14.7,28.32
2.73397,19.58,5.597,1.5257,14.7,21.45
1.6566,19.58,6.122,1.618,14.7,14.1
1.49632,19.58,5.404,1.5916,14.7,13.28
1.12658,19.58,5.012,1.6102,14.7,12.12
2.14918,19.58,5.709,1.6232,14.7,15.79
1.41385,19.58,6.129,1.7494,14.7,15.12
3.53501,19.58,6.152,1.7455,14.7,15.02
2.44668,19.58,5.272,1.7364,14.7,16.14
1.22358,19.58,6.943,1.8773,14.7,4.59
1.34284,19.58,6.066,1.7573,14.7,6.43
1.42502,19.58,6.51,1.7659,14.7,7.39
1.27346,19.58,6.25,1.7984,14.7,5.5
1.46336,19.58,7.489,1.9709,14.7,1.73
1.83377,19.58,7.802,2.0407,14.7,1.92
1.51902,19.58,8.375,2.162,14.7,3.32
2.24236,19.58,5.854,2.422,14.7,11.64
2.924,19.58,6.101,2.2834,14.7,9.81
2.01019,19.58,7.929,2.0459,14.7,3.7
1.80028,19.58,5.877,2.4259,14.7,12.14
2.3004,19.58,6.319,2.1,14.7,11.1
2.44953,19.58,6.402,2.2625,14.7,11.32
1.20742,19.58,5.875,2.4259,14.7,14.43
2.3139,19.58,5.88,2.3887,14.7,12.03
0.13914,4.05,5.572,2.5961,16.6,14.69
0.09178,4.05,6.416,2.6463,16.6,9.04
0.08447,4.05,5.859,2.7019,16.6,9.64
0.06664,4.05,6.546,3.1323,16.6,5.33
0.07022,4.05,6.02,3.5549,16.6,10.11
0.05425,4.05,6.315,3.3175,16.6,6.29
0.06642,4.05,6.86,2.9153,16.6,6.92
0.0578,2.46,6.98,2.829,17.8,5.04
0.06588,2.46,7.765,2.741,17.8,7.56
0.06888,2.46,6.144,2.5979,17.8,9.45
0.09103,2.46,7.155,2.7006,17.8,4.82
0.10008,2.46,6.563,2.847,17.8,5.68
0.08308,2.46,5.604,2.9879,17.8,13.98
0.06047,2.46,6.153,3.2797,17.8,13.15
0.05602,2.46,7.831,3.1992,17.8,4.45
0.07875,3.44,6.782,3.7886,15.2,6.68
0.12579,3.44,6.556,4.5667,15.2,4.56
0.0837,3.44,7.185,4.5667,15.2,5.39
0.09068,3.44,6.951,6.4798,15.2,5.1
0.06911,3.44,6.739,6.4798,15.2,4.69
0.08664,3.44,7.178,6.4798,15.2,2.87
0.02187,2.93,6.8,6.2196,15.6,5.03
0.01439,2.93,6.604,6.2196,15.6,4.38
0.01381,0.46,7.875,5.6484,14.4,2.97
0.04011,1.52,7.287,7.309,12.6,4.08
0.04666,1.52,7.107,7.309,12.6,8.61
0.03768,1.52,7.274,7.309,12.6,6.62
0.0315,1.47,6.975,7.6534,17,4.56
0.01778,1.47,7.135,7.6534,17,4.45
0.03445,2.03,6.162,6.27,14.7,7.43
0.02177,2.03,7.61,6.27,14.7,3.11
0.0351,2.68,7.853,5.118,14.7,3.81
0.02009,2.68,8.034,5.118,14.7,2.88
0.13642,10.59,5.891,3.9454,18.6,10.87
0.22969,10.59,6.326,4.3549,18.6,10.97
0.25199,10.59,5.783,4.3549,18.6,18.06
0.13587,10.59,6.064,4.2392,18.6,14.66
0.43571,10.59,5.344,3.875,18.6,23.09
0.17446,10.59,5.96,3.8771,18.6,17.27
0.37578,10.59,5.404,3.665,18.6,23.98
0.21719,10.59,5.807,3.6526,18.6,16.03
0.14052,10.59,6.375,3.9454,18.6,9.38
0.28955,10.59,5.412,3.5875,18.6,29.55
0.19802,10.59,6.182,3.9454,18.6,9.47
0.0456,13.89,5.888,3.1121,16.4,13.51
0.07013,13.89,6.642,3.4211,16.4,9.69
0.11069,13.89,5.951,2.8893,16.4,17.92
0.11425,13.89,6.373,3.3633,16.4,10.5
0.35809,6.2,6.951,2.8617,17.4,9.71
0.40771,6.2,6.164,3.048,17.4,21.46
0.62356,6.2,6.879,3.2721,17.4,9.93
0.6147,6.2,6.618,3.2721,17.4,7.6
0.31533,6.2,8.266,2.8944,17.4,4.14
0.52693,6.2,8.725,2.8944,17.4,4.63
0.38214,6.2,8.04,3.2157,17.4,3.13
0.41238,6.2,7.163,3.2157,17.4,6.36
0.29819,6.2,7.686,3.3751,17.4,3.92
0.44178,6.2,6.552,3.3751,17.4,3.76
0.537,6.2,5.981,3.6715,17.4,11.65
0.46296,6.2,7.412,3.6715,17.4,5.25
0.57529,6.2,8.337,3.8384,17.4,2.47
0.33147,6.2,8.247,3.6519,17.4,3.95
0.44791,6.2,6.726,3.6519,17.4,8.05
0.33045,6.2,6.086,3.6519,17.4,10.88
0.52058,6.2,6.631,4.148,17.4,9.54
0.51183,6.2,7.358,4.148,17.4,4.73
0.08244,4.93,6.481,6.1899,16.6,6.36
0.09252,4.93,6.606,6.1899,16.6,7.37
0.11329,4.93,6.897,6.3361,16.6,11.38
0.10612,4.93,6.095,6.3361,16.6,12.4
0.1029,4.93,6.358,7.0355,16.6,11.22
0.12757,4.93,6.393,7.0355,16.6,5.19
0.20608,5.86,5.593,7.9549,19.1,12.5
0.19133,5.86,5.605,7.9549,19.1,18.46
0.33983,5.86,6.108,8.0555,19.1,9.16
0.19657,5.86,6.226,8.0555,19.1,10.15
0.16439,5.86,6.433,7.8265,19.1,9.52
0.19073,5.86,6.718,7.8265,19.1,6.56
0.1403,5.86,6.487,7.3967,19.1,5.9
0.21409,5.86,6.438,7.3967,19.1,3.59
0.08221,5.86,6.957,8.9067,19.1,3.53
0.36894,5.86,8.259,8.9067,19.1,3.54
0.04819,3.64,6.108,9.2203,16.4,6.57
0.03548,3.64,5.876,9.2203,16.4,9.25
0.01538,3.75,7.454,6.3361,15.9,3.11
0.61154,3.97,8.704,1.801,13,5.12
0.66351,3.97,7.333,1.8946,13,7.79
0.65665,3.97,6.842,2.0107,13,6.9
0.54011,3.97,7.203,2.1121,13,9.59
0.53412,3.97,7.52,2.1398,13,7.26
0.52014,3.97,8.398,2.2885,13,5.91
0.82526,3.97,7.327,2.0788,13,11.25
0.55007,3.97,7.206,1.9301,13,8.1
0.76162,3.97,5.56,1.9865,13,10.45
0.7857,3.97,7.014,2.1329,13,14.79
0.57834,3.97,8.297,2.4216,13,7.44
0.5405,3.97,7.47,2.872,13,3.16
0.09065,6.96,5.92,3.9175,18.6,13.65
0.29916,6.96,5.856,4.429,18.6,13
0.16211,6.96,6.24,4.429,18.6,6.59
0.1146,6.96,6.538,3.9175,18.6,7.73
0.22188,6.96,7.691,4.3665,18.6,6.58
0.05644,6.41,6.758,4.0776,17.6,3.53
0.09604,6.41,6.854,4.2673,17.6,2.98
0.10469,6.41,7.267,4.7872,17.6,6.05
0.06127,6.41,6.826,4.8628,17.6,4.16
0.07978,6.41,6.482,4.1403,17.6,7.19
0.21038,3.33,6.812,4.1007,14.9,4.85
0.03578,3.33,7.82,4.6947,14.9,3.76
0.03705,3.33,6.968,5.2447,14.9,4.59
0.06129,3.33,7.645,5.2119,14.9,3.01
0.01501,1.21,7.923,5.885,13.6,3.16
0.00906,2.97,7.088,7.3073,15.3,7.85
0.01096,2.25,6.453,7.3073,15.3,8.23
0.01965,1.76,6.23,9.0892,18.2,12.93
0.03871,5.32,6.209,7.3172,16.6,7.14
0.0459,5.32,6.315,7.3172,16.6,7.6
0.04297,5.32,6.565,7.3172,16.6,9.51
0.03502,4.95,6.861,5.1167,19.2,3.33
0.07886,4.95,7.148,5.1167,19.2,3.56
0.03615,4.95,6.63,5.1167,19.2,4.7
0.08265,13.92,6.127,5.5027,16,8.58
0.08199,13.92,6.009,5.5027,16,10.4
0.12932,13.92,6.678,5.9604,16,6.27
0.05372,13.92,6.549,5.9604,16,7.39
0.14103,13.92,5.79,6.32,16,15.84
0.06466,2.24,6.345,7.8278,14.8,4.97
0.05561,2.24,7.041,7.8278,14.8,4.74
0.04417,2.24,6.871,7.8278,14.8,6.07
0.03537,6.09,6.59,5.4917,16.1,9.5
0.09266,6.09,6.495,5.4917,16.1,8.67
0.1,6.09,6.982,5.4917,16.1,4.86
0.05515,2.18,7.236,4.022,18.4,6.93
0.05479,2.18,6.616,3.37,18.4,8.93
0.07503,2.18,7.42,3.0992,18.4,6.47
0.04932,2.18,6.849,3.1827,18.4,7.53
0.49298,9.9,6.635,3.3175,18.4,4.54
0.3494,9.9,5.972,3.1025,18.4,9.97
2.63548,9.9,4.973,2.5194,18.4,12.64
0.79041,9.9,6.122,2.6403,18.4,5.98
0.26169,9.9,6.023,2.834,18.4,11.72
0.26938,9.9,6.266,3.2628,18.4,7.9
0.3692,9.9,6.567,3.6023,18.4,9.28
0.25356,9.9,5.705,3.945,18.4,11.5
0.31827,9.9,5.914,3.9986,18.4,18.33
0.24522,9.9,5.782,4.0317,18.4,15.94
0.40202,9.9,6.382,3.5325,18.4,10.36
0.47547,9.9,6.113,4.0019,18.4,12.73
0.1676,7.38,6.426,4.5404,19.6,7.2
0.18159,7.38,6.376,4.5404,19.6,6.87
0.35114,7.38,6.041,4.7211,19.6,7.7
0.28392,7.38,5.708,4.7211,19.6,11.74
0.34109,7.38,6.415,4.7211,19.6,6.12
0.19186,7.38,6.431,5.4159,19.6,5.08
0.30347,7.38,6.312,5.4159,19.6,6.15
0.24103,7.38,6.083,5.4159,19.6,12.79
0.06617,3.24,5.868,5.2146,16.9,9.97
0.06724,3.24,6.333,5.2146,16.9,7.34
0.04544,3.24,6.144,5.8736,16.9,9.09
0.05023,6.06,5.706,6.6407,16.9,12.43
0.03466,6.06,6.031,6.6407,16.9,7.83
0.05083,5.19,6.316,6.4584,20.2,5.68
0.03738,5.19,6.31,6.4584,20.2,6.75
0.03961,5.19,6.037,5.9853,20.2,8.01
0.03427,5.19,5.869,5.2311,20.2,9.8
0.03041,5.19,5.895,5.615,20.2,10.56
0.03306,5.19,6.059,4.8122,20.2,8.51
0.05497,5.19,5.985,4.8122,20.2,9.74
0.06151,5.19,5.968,4.8122,20.2,9.29
0.01301,1.52,7.241,7.0379,15.5,5.49
0.02498,1.89,6.54,6.2669,15.9,8.65
0.02543,3.78,6.696,5.7321,17.6,7.18
0.03049,3.78,6.874,6.4654,17.6,4.61
0.03113,4.39,6.014,8.0136,18.8,10.53
0.06162,4.39,5.898,8.0136,18.8,12.67
0.0187,4.15,6.516,8.5353,17.9,6.36
0.01501,2.01,6.635,8.344,17,5.99
0.02899,1.25,6.939,8.7921,19.7,5.89
0.06211,1.25,6.49,8.7921,19.7,5.98
0.0795,1.69,6.579,10.7103,18.3,5.49
0.07244,1.69,5.884,10.7103,18.3,7.79
0.01709,2.02,6.728,12.1265,17,4.5
0.04301,1.91,5.663,10.5857,22,8.05
0.10659,1.91,5.936,10.5857,22,5.57
8.98296,18.1,6.212,2.1222,20.2,17.6
3.8497,18.1,6.395,2.5052,20.2,13.27
5.20177,18.1,6.127,2.7227,20.2,11.48
4.26131,18.1,6.112,2.5091,20.2,12.67
4.54192,18.1,6.398,2.5182,20.2,7.79
3.83684,18.1,6.251,2.2955,20.2,14.19
3.67822,18.1,5.362,2.1036,20.2,10.19
4.22239,18.1,5.803,1.9047,20.2,14.64
3.47428,18.1,8.78,1.9047,20.2,5.29
4.55587,18.1,3.561,1.6132,20.2,7.12
3.69695,18.1,4.963,1.7523,20.2,14
13.5222,18.1,3.863,1.5106,20.2,13.33
4.89822,18.1,4.97,1.3325,20.2,3.26
5.66998,18.1,6.683,1.3567,20.2,3.73
6.53876,18.1,7.016,1.2024,20.2,2.96
9.2323,18.1,6.216,1.1691,20.2,9.53
8.26725,18.1,5.875,1.1296,20.2,8.88
11.1081,18.1,4.906,1.1742,20.2,34.77
18.4982,18.1,4.138,1.137,20.2,37.97
19.6091,18.1,7.313,1.3163,20.2,13.44
15.288,18.1,6.649,1.3449,20.2,23.24
9.82349,18.1,6.794,1.358,20.2,21.24
23.6482,18.1,6.38,1.3861,20.2,23.69
17.8667,18.1,6.223,1.3861,20.2,21.78
88.9762,18.1,6.968,1.4165,20.2,17.21
15.8744,18.1,6.545,1.5192,20.2,21.08
9.18702,18.1,5.536,1.5804,20.2,23.6
7.99248,18.1,5.52,1.5331,20.2,24.56
20.0849,18.1,4.368,1.4395,20.2,30.63
16.8118,18.1,5.277,1.4261,20.2,30.81
24.3938,18.1,4.652,1.4672,20.2,28.28
22.5971,18.1,5,1.5184,20.2,31.99
14.3337,18.1,4.88,1.5895,20.2,30.62
8.15174,18.1,5.39,1.7281,20.2,20.85
6.96215,18.1,5.713,1.9265,20.2,17.11
5.29305,18.1,6.051,2.1678,20.2,18.76
11.5779,18.1,5.036,1.77,20.2,25.68
8.64476,18.1,6.193,1.7912,20.2,15.17
13.3598,18.1,5.887,1.7821,20.2,16.35
8.71675,18.1,6.471,1.7257,20.2,17.12
5.87205,18.1,6.405,1.6768,20.2,19.37
7.67202,18.1,5.747,1.6334,20.2,19.92
38.3518,18.1,5.453,1.4896,20.2,30.59
9.91655,18.1,5.852,1.5004,20.2,29.97
25.0461,18.1,5.987,1.5888,20.2,26.77
14.2362,18.1,6.343,1.5741,20.2,20.32
9.59571,18.1,6.404,1.639,20.2,20.31
24.8017,18.1,5.349,1.7028,20.2,19.77
41.5292,18.1,5.531,1.6074,20.2,27.38
67.9208,18.1,5.683,1.4254,20.2,22.98
20.7162,18.1,4.138,1.1781,20.2,23.34
11.9511,18.1,5.608,1.2852,20.2,12.13
7.40389,18.1,5.617,1.4547,20.2,26.4
14.4383,18.1,6.852,1.4655,20.2,19.78
51.1358,18.1,5.757,1.413,20.2,10.11
14.0507,18.1,6.657,1.5275,20.2,21.22
18.811,18.1,4.628,1.5539,20.2,34.37
28.6558,18.1,5.155,1.5894,20.2,20.08
45.7461,18.1,4.519,1.6582,20.2,36.98
18.0846,18.1,6.434,1.8347,20.2,29.05
10.8342,18.1,6.782,1.8195,20.2,25.79
25.9406,18.1,5.304,1.6475,20.2,26.64
73.5341,18.1,5.957,1.8026,20.2,20.62
11.8123,18.1,6.824,1.794,20.2,22.74
11.0874,18.1,6.411,1.8589,20.2,15.02
7.02259,18.1,6.006,1.8746,20.2,15.7
12.0482,18.1,5.648,1.9512,20.2,14.1
7.05042,18.1,6.103,2.0218,20.2,23.29
8.79212,18.1,5.565,2.0635,20.2,17.16
15.8603,18.1,5.896,1.9096,20.2,24.39
12.2472,18.1,5.837,1.9976,20.2,15.69
37.6619,18.1,6.202,1.8629,20.2,14.52
7.36711,18.1,6.193,1.9356,20.2,21.52
9.33889,18.1,6.38,1.9682,20.2,24.08
8.49213,18.1,6.348,2.0527,20.2,17.64
10.0623,18.1,6.833,2.0882,20.2,19.69
6.44405,18.1,6.425,2.2004,20.2,12.03
5.58107,18.1,6.436,2.3158,20.2,16.22
13.9134,18.1,6.208,2.2222,20.2,15.17
11.1604,18.1,6.629,2.1247,20.2,23.27
14.4208,18.1,6.461,2.0026,20.2,18.05
15.1772,18.1,6.152,1.9142,20.2,26.45
13.6781,18.1,5.935,1.8206,20.2,34.02
9.39063,18.1,5.627,1.8172,20.2,22.88
22.0511,18.1,5.818,1.8662,20.2,22.11
9.72418,18.1,6.406,2.0651,20.2,19.52
5.66637,18.1,6.219,2.0048,20.2,16.59
9.96654,18.1,6.485,1.9784,20.2,18.85
12.8023,18.1,5.854,1.8956,20.2,23.79
10.6718,18.1,6.459,1.9879,20.2,23.98
6.28807,18.1,6.341,2.072,20.2,17.79
9.92485,18.1,6.251,2.198,20.2,16.44
9.32909,18.1,6.185,2.2616,20.2,18.13
7.52601,18.1,6.417,2.185,20.2,19.31
6.71772,18.1,6.749,2.3236,20.2,17.44
5.44114,18.1,6.655,2.3552,20.2,17.73
5.09017,18.1,6.297,2.3682,20.2,17.27
8.24809,18.1,7.393,2.4527,20.2,16.74
9.51363,18.1,6.728,2.4961,20.2,18.71
4.75237,18.1,6.525,2.4358,20.2,18.13
4.66883,18.1,5.976,2.5806,20.2,19.01
8.20058,18.1,5.936,2.7792,20.2,16.94
7.75223,18.1,6.301,2.7831,20.2,16.23
6.80117,18.1,6.081,2.7175,20.2,14.7
4.81213,18.1,6.701,2.5975,20.2,16.42
3.69311,18.1,6.376,2.5671,20.2,14.65
6.65492,18.1,6.317,2.7344,20.2,13.99
5.82115,18.1,6.513,2.8016,20.2,10.29
7.83932,18.1,6.209,2.9634,20.2,13.22
3.1636,18.1,5.759,3.0665,20.2,14.13
3.77498,18.1,5.952,2.8715,20.2,17.15
4.42228,18.1,6.003,2.5403,20.2,21.32
15.5757,18.1,5.926,2.9084,20.2,18.13
13.0751,18.1,5.713,2.8237,20.2,14.76
4.34879,18.1,6.167,3.0334,20.2,16.29
4.03841,18.1,6.229,3.0993,20.2,12.87
3.56868,18.1,6.437,2.8965,20.2,14.36
4.64689,18.1,6.98,2.5329,20.2,11.66
8.05579,18.1,5.427,2.4298,20.2,18.14
6.39312,18.1,6.162,2.206,20.2,24.1
4.87141,18.1,6.484,2.3053,20.2,18.68
15.0234,18.1,5.304,2.1007,20.2,24.91
10.233,18.1,6.185,2.1705,20.2,18.03
14.3337,18.1,6.229,1.9512,20.2,13.11
5.82401,18.1,6.242,3.4242,20.2,10.74
5.70818,18.1,6.75,3.3317,20.2,7.74
5.73116,18.1,7.061,3.4106,20.2,7.01
2.81838,18.1,5.762,4.0983,20.2,10.42
2.37857,18.1,5.871,3.724,20.2,13.34
3.67367,18.1,6.312,3.9917,20.2,10.58
5.69175,18.1,6.114,3.5459,20.2,14.98
4.83567,18.1,5.905,3.1523,20.2,11.45
0.15086,27.74,5.454,1.8209,20.1,18.06
0.18337,27.74,5.414,1.7554,20.1,23.97
0.20746,27.74,5.093,1.8226,20.1,29.68
0.10574,27.74,5.983,1.8681,20.1,18.07
0.11132,27.74,5.983,2.1099,20.1,13.35
0.17331,9.69,5.707,2.3817,19.2,12.01
0.27957,9.69,5.926,2.3817,19.2,13.59
0.17899,9.69,5.67,2.7986,19.2,17.6
0.2896,9.69,5.39,2.7986,19.2,21.14
0.26838,9.69,5.794,2.8927,19.2,14.1
0.23912,9.69,6.019,2.4091,19.2,12.92
0.17783,9.69,5.569,2.3999,19.2,15.1
0.177783,9.69,6.027,2.4982,19.2,14.33
0.06263,11.93,6.593,2.4786,21,9.67
0.04527,11.93,6.12,2.2875,21,9.08
0.06076,11.93,6.976,2.1675,21,5.64
0.10959,11.93,6.794,2.3889,21,6.48
0.04741,11.93,6.03,2.505,21,7.88
0.98765,12.5,6.98,2.098,23,12
0.23456,12.5,6.98,2.654,23,25
0.44433,12.5,6.123,2.987,23,21
0.77763,12.7,6.222,2.543,23,76
0.65432,12.8,6.76E+00,2.987,23,45
